mes,regiao,estado,sim,nao,nao_sei,porcentagem_sim,porcentagem_nao,porcentagem_nao_sei
9,Centro-Oeste,DF,6361,25,0,99.61,0.39,0.0
10,Centro-Oeste,DF,6694,31,0,99.54,0.46,0.0
11,Centro-Oeste,DF,6752,43,0,99.37,0.63,0.0
9,Centro-Oeste,GO,13890,51,1,99.63,0.37,0.01
10,Centro-Oeste,GO,13775,64,1,99.53,0.46,0.01
11,Centro-Oeste,GO,14140,53,2,99.61,0.37,0.01
9,Centro-Oeste,MS,9020,17,10,99.7,0.19,0.11
10,Centro-Oeste,MS,8715,15,0,99.83,0.17,0.0
11,Centro-Oeste,MS,8641,16,0,99.82,0.18,0.0
9,Centro-Oeste,MT,11558,71,9,99.31,0.61,0.08
10,Centro-Oeste,MT,11117,42,0,99.62,0.38,0.0
11,Centro-Oeste,MT,11313,44,2,99.6,0.39,0.02
9,Nordeste,AL,11485,65,0,99.44,0.56,0.0
10,Nordeste,AL,11412,85,0,99.26,0.74,0.0
11,Nordeste,AL,11339,61,3,99.44,0.53,0.03
9,Nordeste,BA,17447,53,6,99.66,0.3,0.03
10,Nordeste,BA,16658,71,12,99.5,0.42,0.07
11,Nordeste,BA,16978,84,1,99.5,0.49,0.01
9,Nordeste,CE,17500,68,0,99.61,0.39,0.0
10,Nordeste,CE,16718,58,10,99.59,0.35,0.06
11,Nordeste,CE,16112,70,0,99.57,0.43,0.0
9,Nordeste,MA,20484,171,4,99.15,0.83,0.02
10,Nordeste,MA,19937,196,4,99.01,0.97,0.02
11,Nordeste,MA,20236,164,4,99.18,0.8,0.02
9,Nordeste,PB,10024,20,2,99.78,0.2,0.02
10,Nordeste,PB,9748,20,0,99.8,0.2,0.0
11,Nordeste,PB,9858,15,0,99.85,0.15,0.0
9,Nordeste,PE,16726,79,1,99.52,0.47,0.01
10,Nordeste,PE,16790,71,6,99.54,0.42,0.04
11,Nordeste,PE,17043,94,1,99.45,0.55,0.01
9,Nordeste,PI,8404,19,1,99.76,0.23,0.01
10,Nordeste,PI,8214,16,3,99.77,0.19,0.04
11,Nordeste,PI,8440,40,0,99.53,0.47,0.0
9,Nordeste,RN,8014,25,0,99.69,0.31,0.0
10,Nordeste,RN,7699,35,4,99.5,0.45,0.05
11,Nordeste,RN,7751,20,4,99.69,0.26,0.05
9,Nordeste,SE,8189,36,1,99.55,0.44,0.01
10,Nordeste,SE,7928,49,0,99.39,0.61,0.0
11,Nordeste,SE,7963,50,0,99.38,0.62,0.0
9,Norte,AC,6358,54,2,99.13,0.84,0.03
10,Norte,AC,6270,45,3,99.24,0.71,0.05
11,Norte,AC,6055,44,3,99.23,0.72,0.05
9,Norte,AM,10408,130,9,98.68,1.23,0.09
10,Norte,AM,10345,100,22,98.83,0.96,0.21
11,Norte,AM,10215,107,19,98.78,1.03,0.18
9,Norte,AP,2838,8,1,99.68,0.28,0.04
10,Norte,AP,2352,6,0,99.75,0.25,0.0
11,Norte,AP,2459,12,1,99.47,0.49,0.04
9,Norte,PA,11980,66,0,99.45,0.55,0.0
10,Norte,PA,11771,68,1,99.42,0.57,0.01
11,Norte,PA,11817,61,0,99.49,0.51,0.0
9,Norte,RO,5125,53,0,98.98,1.02,0.0
10,Norte,RO,5406,37,0,99.32,0.68,0.0
11,Norte,RO,5962,39,0,99.35,0.65,0.0
9,Norte,RR,5427,57,0,98.96,1.04,0.0
10,Norte,RR,5527,48,1,99.12,0.86,0.02
11,Norte,RR,5569,44,1,99.2,0.78,0.02
9,Norte,TO,5172,17,0,99.67,0.33,0.0
10,Norte,TO,5158,12,0,99.77,0.23,0.0
11,Norte,TO,5042,45,0,99.12,0.88,0.0
9,Sudeste,ES,15693,121,5,99.2,0.76,0.03
10,Sudeste,ES,15712,113,4,99.26,0.71,0.03
11,Sudeste,ES,15759,103,1,99.34,0.65,0.01
9,Sudeste,MG,34380,145,2,99.57,0.42,0.01
10,Sudeste,MG,34129,98,3,99.7,0.29,0.01
11,Sudeste,MG,34228,102,9,99.68,0.3,0.03
9,Sudeste,RJ,29173,120,19,99.53,0.41,0.06
10,Sudeste,RJ,28881,123,24,99.49,0.42,0.08
11,Sudeste,RJ,28916,128,21,99.49,0.44,0.07
9,Sudeste,SP,33364,102,11,99.66,0.3,0.03
10,Sudeste,SP,32345,84,11,99.71,0.26,0.03
11,Sudeste,SP,31984,120,0,99.63,0.37,0.0
9,Sul,PR,20169,35,0,99.83,0.17,0.0
10,Sul,PR,19861,47,0,99.76,0.24,0.0
11,Sul,PR,19832,40,0,99.8,0.2,0.0
9,Sul,RS,22404,65,0,99.71,0.29,0.0
10,Sul,RS,21983,63,0,99.71,0.29,0.0
11,Sul,RS,21865,66,0,99.7,0.3,0.0
9,Sul,SC,23855,90,3,99.61,0.38,0.01
10,Sul,SC,23492,115,3,99.5,0.49,0.01
11,Sul,SC,23329,100,3,99.56,0.43,0.01