regiao,estado,sexo,media_idade,respondentes
Centro-Oeste,DF,F,38,10570
Centro-Oeste,DF,M,35,9336
Centro-Oeste,GO,F,38,21712
Centro-Oeste,GO,M,37,20265
Centro-Oeste,MS,F,38,13680
Centro-Oeste,MS,M,36,12754
Centro-Oeste,MT,F,36,17317
Centro-Oeste,MT,M,35,16839
Nordeste,AL,F,35,18115
Nordeste,AL,M,32,16335
Nordeste,BA,F,37,26954
Nordeste,BA,M,35,24356
Nordeste,CE,F,38,26483
Nordeste,CE,M,35,24053
Nordeste,MA,F,33,31752
Nordeste,MA,M,32,29448
Nordeste,PB,F,38,15696
Nordeste,PB,M,35,13991
Nordeste,PE,F,37,26827
Nordeste,PE,M,34,23984
Nordeste,PI,F,37,13193
Nordeste,PI,M,36,11944
Nordeste,RN,F,38,12405
Nordeste,RN,M,35,11147
Nordeste,SE,F,35,12766
Nordeste,SE,M,33,11450
Norte,AC,F,34,9732
Norte,AC,M,32,9102
Norte,AM,F,33,15937
Norte,AM,M,31,15418
Norte,AP,F,32,3988
Norte,AP,M,31,3689
Norte,PA,F,34,18344
Norte,PA,M,32,17420
Norte,RO,F,36,8477
Norte,RO,M,35,8145
Norte,RR,F,32,8459
Norte,RR,M,30,8215
Norte,TO,F,36,7743
Norte,TO,M,35,7703
Sudeste,ES,F,38,24639
Sudeste,ES,M,36,22872
Sudeste,MG,F,39,53081
Sudeste,MG,M,38,50015
Sudeste,RJ,F,42,47037
Sudeste,RJ,M,39,40368
Sudeste,SP,F,40,51346
Sudeste,SP,M,38,46675
Sul,PR,F,40,30967
Sul,PR,M,37,29017
Sul,RS,F,42,34483
Sul,RS,M,40,31963
Sul,SC,F,40,36838
Sul,SC,M,38,34152