regiao,estado,raca_cor,trabalhou_semana_passada,respondentes
Centro-Oeste,DF,Amarela,Não,76
Centro-Oeste,DF,Amarela,Sim,83
Centro-Oeste,DF,Branca,Não,3367
Centro-Oeste,DF,Branca,Sim,3040
Centro-Oeste,DF,Ignorada,Não,11
Centro-Oeste,DF,Ignorada,Sim,11
Centro-Oeste,DF,Indígena,Não,22
Centro-Oeste,DF,Indígena,Sim,25
Centro-Oeste,DF,Parda,Não,4368
Centro-Oeste,DF,Parda,Sim,3747
Centro-Oeste,DF,Preta,Não,1033
Centro-Oeste,DF,Preta,Sim,856
Centro-Oeste,GO,Amarela,Não,112
Centro-Oeste,GO,Amarela,Sim,172
Centro-Oeste,GO,Branca,Não,6415
Centro-Oeste,GO,Branca,Sim,6245
Centro-Oeste,GO,Ignorada,Não,1
Centro-Oeste,GO,Ignorada,Sim,2
Centro-Oeste,GO,Indígena,Não,51
Centro-Oeste,GO,Indígena,Sim,27
Centro-Oeste,GO,Parda,Não,9631
Centro-Oeste,GO,Parda,Sim,9466
Centro-Oeste,GO,Preta,Não,1392
Centro-Oeste,GO,Preta,Sim,1603
Centro-Oeste,MS,Amarela,Não,113
Centro-Oeste,MS,Amarela,Sim,101
Centro-Oeste,MS,Branca,Não,4483
Centro-Oeste,MS,Branca,Sim,5068
Centro-Oeste,MS,Indígena,Não,63
Centro-Oeste,MS,Indígena,Sim,57
Centro-Oeste,MS,Parda,Não,5040
Centro-Oeste,MS,Parda,Sim,5222
Centro-Oeste,MS,Preta,Não,709
Centro-Oeste,MS,Preta,Sim,812
Centro-Oeste,MT,Amarela,Não,86
Centro-Oeste,MT,Amarela,Sim,113
Centro-Oeste,MT,Branca,Não,4079
Centro-Oeste,MT,Branca,Sim,4845
Centro-Oeste,MT,Ignorada,Sim,3
Centro-Oeste,MT,Indígena,Não,58
Centro-Oeste,MT,Indígena,Sim,33
Centro-Oeste,MT,Parda,Não,7935
Centro-Oeste,MT,Parda,Sim,7861
Centro-Oeste,MT,Preta,Não,1190
Centro-Oeste,MT,Preta,Sim,1443
Nordeste,AL,Amarela,Não,181
Nordeste,AL,Amarela,Sim,71
Nordeste,AL,Branca,Não,4395
Nordeste,AL,Branca,Sim,2411
Nordeste,AL,Indígena,Não,121
Nordeste,AL,Indígena,Sim,57
Nordeste,AL,Parda,Não,12440
Nordeste,AL,Parda,Sim,6004
Nordeste,AL,Preta,Não,1001
Nordeste,AL,Preta,Sim,664
Nordeste,BA,Amarela,Não,106
Nordeste,BA,Amarela,Sim,65
Nordeste,BA,Branca,Não,4419
Nordeste,BA,Branca,Sim,3103
Nordeste,BA,Ignorada,Não,1
Nordeste,BA,Indígena,Não,131
Nordeste,BA,Indígena,Sim,77
Nordeste,BA,Parda,Não,15120
Nordeste,BA,Parda,Sim,10016
Nordeste,BA,Preta,Não,5392
Nordeste,BA,Preta,Sim,3757
Nordeste,CE,Amarela,Não,108
Nordeste,CE,Amarela,Sim,53
Nordeste,CE,Branca,Não,6488
Nordeste,CE,Branca,Sim,4305
Nordeste,CE,Ignorada,Não,23
Nordeste,CE,Ignorada,Sim,18
Nordeste,CE,Indígena,Não,53
Nordeste,CE,Indígena,Sim,64
Nordeste,CE,Parda,Não,17540
Nordeste,CE,Parda,Sim,10581
Nordeste,CE,Preta,Não,1268
Nordeste,CE,Preta,Sim,872
Nordeste,MA,Amarela,Não,168
Nordeste,MA,Amarela,Sim,101
Nordeste,MA,Branca,Não,5312
Nordeste,MA,Branca,Sim,3319
Nordeste,MA,Ignorada,Não,2
Nordeste,MA,Ignorada,Sim,1
Nordeste,MA,Indígena,Não,129
Nordeste,MA,Indígena,Sim,53
Nordeste,MA,Parda,Não,20887
Nordeste,MA,Parda,Sim,11577
Nordeste,MA,Preta,Não,3711
Nordeste,MA,Preta,Sim,2213
Nordeste,PB,Amarela,Não,52
Nordeste,PB,Amarela,Sim,24
Nordeste,PB,Branca,Não,5187
Nordeste,PB,Branca,Sim,3189
Nordeste,PB,Indígena,Não,30
Nordeste,PB,Indígena,Sim,28
Nordeste,PB,Parda,Não,9068
Nordeste,PB,Parda,Sim,5176
Nordeste,PB,Preta,Não,903
Nordeste,PB,Preta,Sim,639
Nordeste,PE,Amarela,Não,143
Nordeste,PE,Amarela,Sim,130
Nordeste,PE,Branca,Não,7823
Nordeste,PE,Branca,Sim,5465
Nordeste,PE,Ignorada,Não,9
Nordeste,PE,Ignorada,Sim,2
Nordeste,PE,Indígena,Não,93
Nordeste,PE,Indígena,Sim,66
Nordeste,PE,Parda,Não,14926
Nordeste,PE,Parda,Sim,9370
Nordeste,PE,Preta,Não,1919
Nordeste,PE,Preta,Sim,1373
Nordeste,PI,Amarela,Não,8
Nordeste,PI,Amarela,Sim,11
Nordeste,PI,Branca,Não,2499
Nordeste,PI,Branca,Sim,1777
Nordeste,PI,Ignorada,Não,4
Nordeste,PI,Ignorada,Sim,5
Nordeste,PI,Indígena,Não,1
Nordeste,PI,Indígena,Sim,6
Nordeste,PI,Parda,Não,8363
Nordeste,PI,Parda,Sim,5782
Nordeste,PI,Preta,Não,1217
Nordeste,PI,Preta,Sim,919
Nordeste,RN,Amarela,Não,30
Nordeste,RN,Amarela,Sim,21
Nordeste,RN,Branca,Não,4486
Nordeste,RN,Branca,Sim,2713
Nordeste,RN,Ignorada,Não,14
Nordeste,RN,Ignorada,Sim,9
Nordeste,RN,Indígena,Não,17
Nordeste,RN,Indígena,Sim,14
Nordeste,RN,Parda,Não,6719
Nordeste,RN,Parda,Sim,4057
Nordeste,RN,Preta,Não,837
Nordeste,RN,Preta,Sim,484
Nordeste,SE,Amarela,Não,12
Nordeste,SE,Amarela,Sim,2
Nordeste,SE,Branca,Não,2437
Nordeste,SE,Branca,Sim,1633
Nordeste,SE,Ignorada,Não,7
Nordeste,SE,Ignorada,Sim,1
Nordeste,SE,Indígena,Não,24
Nordeste,SE,Indígena,Sim,14
Nordeste,SE,Parda,Não,8349
Nordeste,SE,Parda,Sim,5005
Nordeste,SE,Preta,Não,1165
Nordeste,SE,Preta,Sim,807
Norte,AC,Amarela,Não,49
Norte,AC,Amarela,Sim,18
Norte,AC,Branca,Não,1798
Norte,AC,Branca,Sim,1155
Norte,AC,Indígena,Não,28
Norte,AC,Indígena,Sim,25
Norte,AC,Parda,Não,6859
Norte,AC,Parda,Sim,4050
Norte,AC,Preta,Não,619
Norte,AC,Preta,Sim,453
Norte,AM,Amarela,Não,83
Norte,AM,Amarela,Sim,50
Norte,AM,Branca,Não,2277
Norte,AM,Branca,Sim,1795
Norte,AM,Ignorada,Não,2
Norte,AM,Indígena,Não,328
Norte,AM,Indígena,Sim,257
Norte,AM,Parda,Não,10982
Norte,AM,Parda,Sim,7844
Norte,AM,Preta,Não,536
Norte,AM,Preta,Sim,417
Norte,AP,Amarela,Não,11
Norte,AP,Amarela,Sim,8
Norte,AP,Branca,Não,788
Norte,AP,Branca,Sim,430
Norte,AP,Ignorada,Não,1
Norte,AP,Indígena,Não,3
Norte,AP,Indígena,Sim,9
Norte,AP,Parda,Não,2699
Norte,AP,Parda,Sim,1609
Norte,AP,Preta,Não,261
Norte,AP,Preta,Sim,197
Norte,PA,Amarela,Não,108
Norte,PA,Amarela,Sim,100
Norte,PA,Branca,Não,3068
Norte,PA,Branca,Sim,2464
Norte,PA,Ignorada,Não,2
Norte,PA,Indígena,Não,109
Norte,PA,Indígena,Sim,53
Norte,PA,Parda,Não,11490
Norte,PA,Parda,Sim,8505
Norte,PA,Preta,Não,1393
Norte,PA,Preta,Sim,1056
Norte,RO,Amarela,Não,50
Norte,RO,Amarela,Sim,66
Norte,RO,Branca,Não,1953
Norte,RO,Branca,Sim,1939
Norte,RO,Indígena,Não,25
Norte,RO,Indígena,Sim,19
Norte,RO,Parda,Não,4215
Norte,RO,Parda,Sim,4228
Norte,RO,Preta,Não,541
Norte,RO,Preta,Sim,552
Norte,RR,Amarela,Não,67
Norte,RR,Amarela,Sim,26
Norte,RR,Branca,Não,1374
Norte,RR,Branca,Sim,1107
Norte,RR,Ignorada,Não,1
Norte,RR,Indígena,Não,337
Norte,RR,Indígena,Sim,207
Norte,RR,Parda,Não,5258
Norte,RR,Parda,Sim,3235
Norte,RR,Preta,Não,742
Norte,RR,Preta,Sim,530
Norte,TO,Amarela,Não,42
Norte,TO,Amarela,Sim,30
Norte,TO,Branca,Não,1482
Norte,TO,Branca,Sim,1479
Norte,TO,Ignorada,Não,6
Norte,TO,Ignorada,Sim,7
Norte,TO,Indígena,Não,38
Norte,TO,Indígena,Sim,13
Norte,TO,Parda,Não,4325
Norte,TO,Parda,Sim,3615
Norte,TO,Preta,Não,724
Norte,TO,Preta,Sim,640
Sudeste,ES,Amarela,Não,61
Sudeste,ES,Amarela,Sim,98
Sudeste,ES,Branca,Não,7435
Sudeste,ES,Branca,Sim,7607
Sudeste,ES,Ignorada,Não,1
Sudeste,ES,Indígena,Não,104
Sudeste,ES,Indígena,Sim,88
Sudeste,ES,Parda,Não,10316
Sudeste,ES,Parda,Sim,9341
Sudeste,ES,Preta,Não,2157
Sudeste,ES,Preta,Sim,2123
Sudeste,MG,Amarela,Não,116
Sudeste,MG,Amarela,Sim,135
Sudeste,MG,Branca,Não,18272
Sudeste,MG,Branca,Sim,16161
Sudeste,MG,Ignorada,Não,4
Sudeste,MG,Ignorada,Sim,3
Sudeste,MG,Indígena,Não,42
Sudeste,MG,Indígena,Sim,44
Sudeste,MG,Parda,Não,22540
Sudeste,MG,Parda,Sim,19463
Sudeste,MG,Preta,Não,5304
Sudeste,MG,Preta,Sim,4832
Sudeste,RJ,Amarela,Não,147
Sudeste,RJ,Amarela,Sim,105
Sudeste,RJ,Branca,Não,21150
Sudeste,RJ,Branca,Sim,14178
Sudeste,RJ,Ignorada,Sim,3
Sudeste,RJ,Indígena,Não,111
Sudeste,RJ,Indígena,Sim,68
Sudeste,RJ,Parda,Não,18023
Sudeste,RJ,Parda,Sim,11622
Sudeste,RJ,Preta,Não,5613
Sudeste,RJ,Preta,Sim,3986
Sudeste,SP,Amarela,Não,820
Sudeste,SP,Amarela,Sim,656
Sudeste,SP,Branca,Não,26204
Sudeste,SP,Branca,Sim,24464
Sudeste,SP,Ignorada,Não,22
Sudeste,SP,Ignorada,Sim,5
Sudeste,SP,Indígena,Não,42
Sudeste,SP,Indígena,Sim,77
Sudeste,SP,Parda,Não,12798
Sudeste,SP,Parda,Sim,11876
Sudeste,SP,Preta,Não,2741
Sudeste,SP,Preta,Sim,3028
Sul,PR,Amarela,Não,315
Sul,PR,Amarela,Sim,307
Sul,PR,Branca,Não,15862
Sul,PR,Branca,Sim,17909
Sul,PR,Ignorada,Não,2
Sul,PR,Ignorada,Sim,2
Sul,PR,Indígena,Não,33
Sul,PR,Indígena,Sim,63
Sul,PR,Parda,Não,7111
Sul,PR,Parda,Sim,7061
Sul,PR,Preta,Não,731
Sul,PR,Preta,Sim,899
Sul,RS,Amarela,Não,31
Sul,RS,Amarela,Sim,29
Sul,RS,Branca,Não,21996
Sul,RS,Branca,Sim,24830
Sul,RS,Ignorada,Não,7
Sul,RS,Ignorada,Sim,1
Sul,RS,Indígena,Não,53
Sul,RS,Indígena,Sim,49
Sul,RS,Parda,Não,3546
Sul,RS,Parda,Sim,3384
Sul,RS,Preta,Não,1649
Sul,RS,Preta,Sim,1281
Sul,SC,Amarela,Não,89
Sul,SC,Amarela,Sim,85
Sul,SC,Branca,Não,23934
Sul,SC,Branca,Sim,26319
Sul,SC,Ignorada,Não,7
Sul,SC,Ignorada,Sim,2
Sul,SC,Indígena,Não,45
Sul,SC,Indígena,Sim,40
Sul,SC,Parda,Não,3822
Sul,SC,Parda,Sim,4071
Sul,SC,Preta,Não,813
Sul,SC,Preta,Sim,840