mes,regiao,estado,total_respostas
5,Norte,AC,5926
6,Norte,AC,6656
7,Norte,AC,6621
8,Norte,AC,6577
9,Norte,AC,6414
10,Norte,AC,6318
11,Norte,AC,6102
5,Nordeste,AL,10661
6,Nordeste,AL,12101
7,Nordeste,AL,12066
8,Nordeste,AL,11711
9,Nordeste,AL,11550
10,Nordeste,AL,11497
11,Nordeste,AL,11403
5,Norte,AM,8531
6,Norte,AM,9835
7,Norte,AM,9609
8,Norte,AM,10013
9,Norte,AM,10547
10,Norte,AM,10467
11,Norte,AM,10341
5,Norte,AP,2562
6,Norte,AP,3245
7,Norte,AP,3055
8,Norte,AP,2830
9,Norte,AP,2847
10,Norte,AP,2358
11,Norte,AP,2472
5,Nordeste,BA,16673
6,Nordeste,BA,17946
7,Nordeste,BA,17512
8,Nordeste,BA,16917
9,Nordeste,BA,17506
10,Nordeste,BA,16741
11,Nordeste,BA,17063
5,Nordeste,CE,15876
6,Nordeste,CE,16828
7,Nordeste,CE,16987
8,Nordeste,CE,17872
9,Nordeste,CE,17568
10,Nordeste,CE,16786
11,Nordeste,CE,16182
5,Centro-Oeste,DF,6434
6,Centro-Oeste,DF,6655
7,Centro-Oeste,DF,6593
8,Centro-Oeste,DF,6430
9,Centro-Oeste,DF,6386
10,Centro-Oeste,DF,6725
11,Centro-Oeste,DF,6795
5,Sudeste,ES,13482
6,Sudeste,ES,14828
7,Sudeste,ES,15079
8,Sudeste,ES,15602
9,Sudeste,ES,15819
10,Sudeste,ES,15829
11,Sudeste,ES,15863
5,Centro-Oeste,GO,12760
6,Centro-Oeste,GO,13703
7,Centro-Oeste,GO,13599
8,Centro-Oeste,GO,13670
9,Centro-Oeste,GO,13942
10,Centro-Oeste,GO,13840
11,Centro-Oeste,GO,14195
5,Nordeste,MA,14547
6,Nordeste,MA,17883
7,Nordeste,MA,19298
8,Nordeste,MA,20299
9,Nordeste,MA,20659
10,Nordeste,MA,20137
11,Nordeste,MA,20404
5,Sudeste,MG,32197
6,Sudeste,MG,34541
7,Sudeste,MG,34819
8,Sudeste,MG,34810
9,Sudeste,MG,34527
10,Sudeste,MG,34230
11,Sudeste,MG,34339
5,Centro-Oeste,MS,7985
6,Centro-Oeste,MS,8775
7,Centro-Oeste,MS,8713
8,Centro-Oeste,MS,9038
9,Centro-Oeste,MS,9047
10,Centro-Oeste,MS,8730
11,Centro-Oeste,MS,8657
5,Centro-Oeste,MT,10542
6,Centro-Oeste,MT,11403
7,Centro-Oeste,MT,11509
8,Centro-Oeste,MT,11771
9,Centro-Oeste,MT,11638
10,Centro-Oeste,MT,11159
11,Centro-Oeste,MT,11359
5,Norte,PA,10507
6,Norte,PA,11350
7,Norte,PA,11378
8,Norte,PA,11705
9,Norte,PA,12046
10,Norte,PA,11840
11,Norte,PA,11878
5,Nordeste,PB,8659
6,Nordeste,PB,9639
7,Nordeste,PB,9858
8,Nordeste,PB,9924
9,Nordeste,PB,10046
10,Nordeste,PB,9768
11,Nordeste,PB,9873
5,Nordeste,PE,13843
6,Nordeste,PE,15762
7,Nordeste,PE,16255
8,Nordeste,PE,16553
9,Nordeste,PE,16806
10,Nordeste,PE,16867
11,Nordeste,PE,17138
5,Nordeste,PI,7559
6,Nordeste,PI,8350
7,Nordeste,PI,8607
8,Nordeste,PI,8485
9,Nordeste,PI,8424
10,Nordeste,PI,8233
11,Nordeste,PI,8480
5,Sul,PR,18664
6,Sul,PR,19861
7,Sul,PR,20413
8,Sul,PR,20215
9,Sul,PR,20204
10,Sul,PR,19908
11,Sul,PR,19872
5,Sudeste,RJ,25948
6,Sudeste,RJ,28536
7,Sudeste,RJ,28883
8,Sudeste,RJ,29129
9,Sudeste,RJ,29312
10,Sudeste,RJ,29028
11,Sudeste,RJ,29065
5,Nordeste,RN,7634
6,Nordeste,RN,8235
7,Nordeste,RN,8516
8,Nordeste,RN,8418
9,Nordeste,RN,8039
10,Nordeste,RN,7738
11,Nordeste,RN,7775
5,Norte,RO,5070
6,Norte,RO,5353
7,Norte,RO,5352
8,Norte,RO,5182
9,Norte,RO,5178
10,Norte,RO,5443
11,Norte,RO,6001
5,Norte,RR,4215
6,Norte,RR,4992
7,Norte,RR,5330
8,Norte,RR,5376
9,Norte,RR,5484
10,Norte,RR,5576
11,Norte,RR,5614
5,Sul,RS,20527
6,Sul,RS,22061
7,Sul,RS,22280
8,Sul,RS,22574
9,Sul,RS,22469
10,Sul,RS,22046
11,Sul,RS,21931
5,Sul,SC,21626
6,Sul,SC,23448
7,Sul,SC,23282
8,Sul,SC,23635
9,Sul,SC,23948
10,Sul,SC,23610
11,Sul,SC,23432
5,Nordeste,SE,8239
6,Nordeste,SE,8519
7,Nordeste,SE,8211
8,Nordeste,SE,8319
9,Nordeste,SE,8226
10,Nordeste,SE,7977
11,Nordeste,SE,8013
5,Sudeste,SP,33447
6,Sudeste,SP,35430
7,Sudeste,SP,35020
8,Sudeste,SP,34106
9,Sudeste,SP,33477
10,Sudeste,SP,32440
11,Sudeste,SP,32104
5,Norte,TO,5192
6,Norte,TO,5335
7,Norte,TO,5321
8,Norte,TO,5359
9,Norte,TO,5189
10,Norte,TO,5170
11,Norte,TO,5087