mes,regiao,estado,sim_plano_saude,nao_plano_saude,per_sim_plano,per_nao_plano
9,Sudeste,SP,12257,21109,36.73,63.27
10,Sudeste,SP,11961,20391,36.97,63.03
11,Sudeste,SP,11882,20161,37.08,62.92
9,Sudeste,MG,9789,24701,28.38,71.62
11,Sudeste,MG,9728,24594,28.34,71.66
10,Sudeste,MG,9668,24541,28.26,71.74
9,Sudeste,RJ,9600,19631,32.84,67.16
11,Sudeste,RJ,9532,19500,32.83,67.17
10,Sudeste,RJ,9517,19478,32.82,67.18
11,Sul,RS,7771,14154,35.44,64.56
9,Sul,RS,7749,14699,34.52,65.48
10,Sul,RS,7702,14317,34.98,65.02
11,Sul,PR,6174,13688,31.08,68.92
9,Sul,PR,6149,14027,30.48,69.52
10,Sul,PR,6128,13770,30.8,69.2
9,Sul,SC,5945,17906,24.93,75.07
11,Sul,SC,5938,17457,25.38,74.62
10,Sul,SC,5898,17660,25.04,74.96
11,Sudeste,ES,4389,11432,27.74,72.26
10,Sudeste,ES,4365,11408,27.67,72.33
9,Sudeste,ES,4301,11455,27.3,72.7
11,Centro-Oeste,GO,4135,10043,29.16,70.84
10,Centro-Oeste,GO,3979,9840,28.79,71.21
9,Centro-Oeste,GO,3936,9968,28.31,71.69
11,Nordeste,PE,2917,14193,17.05,82.95
10,Nordeste,PE,2831,14000,16.82,83.18
9,Nordeste,PE,2829,13921,16.89,83.11
9,Centro-Oeste,MS,2420,6595,26.84,73.16
10,Centro-Oeste,DF,2388,4266,35.89,64.11
11,Centro-Oeste,DF,2365,4384,35.04,64.96
10,Centro-Oeste,MS,2331,6370,26.79,73.21
11,Centro-Oeste,MS,2323,6323,26.87,73.13
9,Centro-Oeste,DF,2313,4034,36.44,63.56
11,Nordeste,BA,2270,14787,13.31,86.69
11,Centro-Oeste,MT,2228,9114,19.64,80.36
9,Centro-Oeste,MT,2226,9400,19.15,80.85
9,Nordeste,BA,2224,15276,12.71,87.29
10,Centro-Oeste,MT,2198,8938,19.74,80.26
9,Nordeste,CE,2163,15365,12.34,87.66
10,Nordeste,BA,2146,14587,12.82,87.18
10,Nordeste,CE,2109,14644,12.59,87.41
11,Nordeste,CE,2022,14117,12.53,87.47
11,Norte,PA,1778,10076,15.0,85.0
10,Nordeste,PB,1755,8010,17.97,82.03
11,Nordeste,PB,1750,8116,17.74,82.26
9,Nordeste,PB,1744,8280,17.4,82.6
10,Norte,PA,1736,10072,14.7,85.3
9,Norte,PA,1696,10294,14.15,85.85
9,Nordeste,PI,1360,7060,16.15,83.85
11,Nordeste,PI,1349,7131,15.91,84.09
10,Nordeste,PI,1326,6903,16.11,83.89
11,Nordeste,MA,1265,19109,6.21,93.79
9,Nordeste,SE,1262,6952,15.36,84.64
9,Nordeste,RN,1255,6779,15.62,84.38
11,Nordeste,SE,1242,6761,15.52,84.48
11,Nordeste,RN,1223,6539,15.76,84.24
10,Norte,AM,1212,9238,11.6,88.4
11,Norte,AM,1209,9113,11.71,88.29
10,Nordeste,SE,1199,6772,15.04,84.96
10,Nordeste,RN,1193,6543,15.42,84.58
9,Norte,AM,1188,9310,11.32,88.68
10,Nordeste,MA,1151,18968,5.72,94.28
9,Nordeste,MA,1086,19516,5.27,94.73
10,Nordeste,AL,1067,10398,9.31,90.69
11,Nordeste,AL,1065,10303,9.37,90.63
9,Nordeste,AL,1037,10480,9.0,91.0
11,Norte,RO,787,5189,13.17,86.83
10,Norte,TO,752,4347,14.75,85.25
9,Norte,TO,736,4418,14.28,85.72
11,Norte,TO,715,4305,14.24,85.76
10,Norte,RO,670,4761,12.34,87.66
9,Norte,RO,634,4536,12.26,87.74
10,Norte,AC,572,5740,9.06,90.94
11,Norte,AC,568,5519,9.33,90.67
9,Norte,AC,564,5841,8.81,91.19
11,Norte,RR,320,5291,5.7,94.3
10,Norte,RR,318,5254,5.71,94.29
9,Norte,RR,302,5019,5.68,94.32
9,Norte,AP,234,2609,8.23,91.77
10,Norte,AP,207,2145,8.8,91.2
11,Norte,AP,205,2258,8.32,91.68