regiao,estado,mes,semana,mes_semana,febre,tosse,dor_garganta,dor_cabeca,dor_olhos,coriza,fadiga,nausea,diarreia,dor_peito,dor_muscular,dificuldade_respirar,cheiro_sabor,risco_idade,diabetes,hipertensao,doenca_respiratoria,doenca_cardiaca,depessao,cancer
Sul,RS,10,2,10_2,37,98,73,129,33,119,76,30,28,31,86,35,16,1596,376,1040,425,254,398,112
Sul,RS,10,3,10_3,37,84,60,109,23,82,77,28,25,16,78,29,23,1620,322,1009,384,232,364,129
Sul,RS,10,1,10_1,28,83,75,125,30,100,68,25,18,25,69,34,23,1610,408,1104,470,298,390,147
Sul,RS,10,4,10_4,30,72,51,86,16,77,66,20,25,14,64,28,13,1667,380,1054,373,230,354,118
Sul,RS,11,1,11_1,40,73,74,108,23,101,73,20,25,24,76,21,17,1611,405,1074,463,299,390,149
Sudeste,MG,9,2,9_2,65,150,101,198,39,184,64,26,51,30,107,61,26,2294,555,1529,632,285,417,124
Sudeste,MG,9,1,9_1,50,156,81,171,20,156,55,26,33,28,91,52,17,2181,533,1535,649,301,412,111
Sudeste,MG,10,4,10_4,51,116,89,132,23,122,50,26,31,23,83,35,19,2264,527,1565,628,284,394,123
Sudeste,MG,11,4,11_4,90,167,121,201,42,215,63,37,54,31,122,54,47,2259,529,1594,649,281,401,123
Sudeste,MG,11,1,11_1,43,102,71,129,17,124,48,13,25,13,82,22,22,2174,548,1568,664,328,453,109
Sudeste,MG,9,3,9_3,43,136,69,157,25,162,47,34,31,25,87,35,31,2181,526,1495,629,292,402,102
Sudeste,MG,9,4,9_4,57,114,68,172,19,128,51,26,30,25,93,48,22,2277,505,1542,642,276,368,123
Sudeste,MG,10,3,10_3,46,97,73,126,23,122,48,23,22,33,71,36,34,2151,528,1515,633,280,411,99
Sudeste,MG,10,2,10_2,59,118,77,133,22,117,48,24,36,21,89,41,26,2285,559,1543,649,295,420,131
Sudeste,MG,10,1,10_1,46,92,62,142,21,100,44,36,45,20,79,37,26,2171,536,1540,666,314,422,113
Sudeste,MG,11,3,11_3,70,162,123,182,34,187,61,28,41,27,119,46,37,2198,533,1537,643,301,437,102
Sudeste,MG,11,2,11_2,51,159,119,148,18,155,68,35,42,28,75,50,34,2283,575,1544,667,292,419,134
Sul,PR,10,1,10_1,29,62,49,72,14,74,38,25,25,15,46,15,32,1247,327,788,316,174,236,72
Sul,PR,11,4,11_4,61,86,103,103,20,76,44,24,25,20,58,27,30,1245,313,797,257,175,225,84
Sul,PR,11,1,11_1,27,63,65,64,14,55,36,16,12,18,37,23,17,1279,335,814,310,178,235,70
Sul,PR,9,2,9_2,30,76,72,86,19,88,46,13,18,18,56,24,22,1293,309,785,286,203,232,82
Sul,PR,9,4,9_4,26,54,39,88,16,82,41,12,23,10,39,22,18,1269,314,804,261,174,224,83
Sul,PR,9,3,9_3,17,54,47,62,15,87,21,12,14,14,37,17,17,1321,355,809,272,166,246,89
Sul,PR,9,1,9_1,31,90,71,96,14,104,44,18,24,23,62,22,20,1252,330,796,316,171,226,69
Sul,PR,10,4,10_4,22,34,39,76,14,43,21,12,13,18,34,14,15,1243,315,806,263,170,216,84
Sul,PR,10,3,10_3,23,39,45,78,16,46,26,20,15,9,34,15,8,1299,354,825,269,173,253,89
Sul,PR,10,2,10_2,29,58,47,68,15,62,26,16,23,5,35,12,9,1295,313,794,285,201,241,85
Sul,PR,11,3,11_3,50,100,92,119,32,90,53,22,30,31,64,36,39,1305,351,826,272,171,247,87
Sul,PR,11,2,11_2,48,75,77,74,19,67,46,21,21,14,52,22,23,1281,320,784,287,200,232,79
Sudeste,SP,9,3,9_3,37,116,77,135,28,124,45,22,22,23,85,34,25,2271,600,1409,463,281,256,140
Sudeste,SP,9,4,9_4,42,80,72,131,24,119,51,34,29,17,74,36,21,2192,606,1398,546,291,275,127
Sudeste,SP,9,1,9_1,50,118,78,154,26,158,75,21,34,19,104,40,27,2235,589,1347,505,294,282,107
Sudeste,SP,9,2,9_2,44,115,71,163,35,142,61,27,38,24,72,52,23,2298,651,1397,521,315,323,126
Sudeste,SP,10,3,10_3,41,84,53,94,20,86,55,32,25,25,61,45,22,2230,614,1409,453,296,260,141
Sudeste,SP,10,4,10_4,56,106,77,99,19,104,44,14,14,12,69,37,22,2129,602,1347,519,297,273,120
Sudeste,SP,10,2,10_2,36,76,59,129,19,84,53,29,36,17,84,43,21,2171,622,1339,506,308,311,121
Sudeste,SP,11,3,11_3,55,137,127,109,24,124,61,22,27,19,64,43,22,2188,603,1393,471,302,260,142
Sudeste,SP,11,2,11_2,65,100,99,149,30,111,58,31,33,28,86,48,25,2174,627,1348,499,304,313,121
Sudeste,SP,10,1,10_1,35,84,58,119,18,102,51,23,25,19,64,38,24,2206,584,1339,499,304,286,111
Sudeste,SP,11,1,11_1,42,89,82,102,22,112,40,12,12,18,61,29,19,2194,573,1346,501,300,290,117
Sudeste,SP,11,4,11_4,61,89,77,114,27,97,54,30,28,19,74,31,21,2123,597,1350,501,308,274,113
Norte,AC,9,2,9_2,6,15,15,22,5,17,12,6,2,7,11,7,5,310,45,206,64,24,12,6
Norte,AC,9,1,9_1,17,26,16,38,7,21,12,2,3,6,12,7,9,292,61,209,72,23,11,6
Norte,AC,9,4,9_4,11,16,14,17,4,10,7,4,11,5,5,7,8,310,62,224,47,26,16,8
Norte,AC,10,4,10_4,21,24,22,32,4,11,9,7,9,8,11,9,7,291,58,215,48,23,16,7
Norte,AC,10,3,10_3,24,21,14,29,6,18,17,4,5,7,16,9,6,350,68,237,60,30,11,11
Norte,AC,11,2,11_2,14,10,12,22,5,8,6,5,3,5,15,8,3,308,50,211,60,26,14,7
Norte,AC,9,3,9_3,24,22,28,20,4,16,15,7,6,6,14,6,7,342,62,230,60,28,12,8
Norte,AC,10,2,10_2,11,13,13,21,4,12,10,5,3,5,9,4,3,293,46,201,62,23,13,7
Norte,AC,10,1,10_1,17,18,20,25,2,16,8,1,5,6,15,5,6,291,60,203,64,21,12,8
Norte,AC,11,1,11_1,15,12,14,22,7,10,11,3,2,3,10,3,6,278,57,209,64,23,9,7
Norte,AC,11,4,11_4,9,11,12,25,6,2,6,2,3,1,9,3,4,281,55,209,43,24,16,8
Norte,AC,11,3,11_3,11,9,9,23,3,7,7,8,8,3,4,4,7,321,66,232,52,28,9,11
Norte,AM,9,1,9_1,20,31,26,41,14,15,23,6,9,16,27,13,19,525,87,238,77,30,19,4
Norte,AM,10,4,10_4,50,58,48,50,17,46,37,20,17,17,38,16,16,497,91,206,55,26,18,13
Norte,AM,10,2,10_2,41,57,37,56,11,46,38,19,15,15,36,26,22,540,113,206,58,30,15,8
Norte,AM,10,1,10_1,26,26,31,53,16,34,26,10,9,14,34,10,24,509,89,234,75,29,20,6
Norte,AM,11,1,11_1,34,37,29,40,14,28,20,6,10,12,22,12,14,507,83,230,70,26,21,7
Norte,AM,9,4,9_4,31,44,25,58,14,32,37,15,14,19,39,14,17,523,98,214,56,28,18,12
Norte,AM,9,2,9_2,25,37,32,57,14,24,30,9,7,14,27,17,15,534,105,198,61,30,13,10
Norte,AM,9,3,9_3,48,47,40,66,23,32,42,24,24,28,29,23,23,504,76,195,62,33,20,1
Norte,AM,10,3,10_3,41,47,43,56,20,44,48,30,28,23,38,21,20,519,79,204,71,34,21,2
Norte,AM,11,4,11_4,28,39,29,47,11,29,22,10,10,8,22,17,8,466,93,195,49,26,17,14
Norte,AM,11,2,11_2,22,28,21,28,9,18,17,8,5,5,18,4,4,527,114,211,63,31,14,8
Norte,AM,11,3,11_3,27,30,30,31,7,33,16,9,7,9,21,5,10,499,77,201,66,35,20,1
Norte,RO,10,2,10_2,15,16,20,33,6,16,14,10,5,9,14,10,5,331,71,168,59,30,30,8
Norte,RO,10,4,10_4,11,16,18,21,6,15,10,5,1,6,15,5,5,308,62,168,62,34,35,10
Norte,RO,11,2,11_2,13,23,27,27,6,21,13,5,4,3,19,8,5,365,82,178,68,35,33,11
Norte,RO,9,1,9_1,19,23,19,27,9,14,8,6,4,5,17,4,7,271,59,168,48,32,30,13
Norte,RO,9,2,9_2,16,29,22,33,15,20,14,11,7,9,16,15,8,316,69,159,44,25,24,5
Norte,RO,9,3,9_3,19,27,28,30,9,16,13,11,9,10,18,10,10,302,67,182,50,33,28,15
Norte,RO,9,4,9_4,15,16,19,19,2,11,4,2,4,4,10,2,1,284,65,154,58,32,33,5
Norte,RO,10,1,10_1,19,28,28,29,11,19,14,7,2,7,19,8,10,268,59,160,60,34,31,12
Norte,RO,10,3,10_3,7,20,17,23,7,19,6,5,3,6,9,11,3,295,67,187,55,32,29,15
Norte,RO,11,1,11_1,6,10,10,22,3,7,1,6,1,1,4,2,1,336,69,181,67,45,42,12
Norte,RO,11,4,11_4,14,23,19,26,9,16,17,6,6,9,22,8,14,332,70,191,75,47,40,11
Norte,RO,11,3,11_3,10,15,15,20,1,14,8,5,4,5,11,11,2,307,69,183,56,32,29,16
Nordeste,RN,9,3,9_3,15,35,26,31,3,40,7,6,10,2,20,6,5,498,130,324,115,55,57,19
Nordeste,RN,9,1,9_1,14,29,20,22,8,33,8,2,4,2,12,4,1,485,131,284,102,41,65,27
Nordeste,RN,10,3,10_3,13,24,20,32,3,42,10,5,9,3,12,5,6,474,133,308,109,57,56,18
Nordeste,RN,10,4,10_4,10,22,31,38,5,35,16,6,11,1,24,7,4,438,136,294,118,70,50,23
Nordeste,RN,10,1,10_1,13,24,33,26,5,32,6,6,3,7,13,6,3,462,125,294,101,45,73,23
Nordeste,RN,11,3,11_3,21,24,27,37,7,21,13,5,7,3,21,5,5,481,133,309,110,52,51,17
Nordeste,RN,11,2,11_2,15,28,28,20,1,19,11,1,8,5,7,5,2,456,119,309,107,53,52,15
Nordeste,RN,9,2,9_2,14,30,19,20,4,29,8,6,4,6,9,6,1,467,120,321,114,55,56,20
Nordeste,RN,9,4,9_4,11,25,26,37,2,26,9,7,9,1,14,7,2,460,140,303,125,66,55,24
Nordeste,RN,10,2,10_2,8,19,17,21,1,16,11,4,4,4,10,3,1,458,123,310,120,59,55,15
Nordeste,RN,11,4,11_4,22,25,25,33,2,28,12,4,5,2,15,10,4,446,145,303,111,67,50,25
Nordeste,RN,11,1,11_1,12,25,27,27,7,30,20,6,5,3,18,5,7,491,137,319,100,48,69,34
Sudeste,ES,9,3,9_3,27,35,36,50,10,38,20,11,16,6,33,13,15,1013,237,664,234,129,101,41
Sudeste,ES,9,1,9_1,24,45,32,53,19,50,22,12,18,13,30,13,9,940,240,582,234,138,131,40
Sudeste,ES,10,4,10_4,33,66,37,42,7,65,19,11,5,6,24,9,11,975,254,627,254,110,117,43
Sudeste,ES,11,4,11_4,45,74,57,66,12,71,33,16,17,8,55,27,31,971,256,643,239,108,118,41
Sudeste,ES,11,1,11_1,21,44,40,43,13,41,18,17,16,15,30,11,13,954,250,604,218,140,120,42
Sudeste,ES,9,2,9_2,19,51,35,65,11,56,20,9,20,8,24,15,13,927,221,628,240,101,87,41
Sudeste,ES,9,4,9_4,18,32,27,48,7,39,20,16,13,5,32,9,14,964,250,618,234,107,110,41
Sudeste,ES,10,2,10_2,19,42,31,40,7,43,8,9,8,11,21,9,7,930,229,645,243,94,91,42
Sudeste,ES,10,1,10_1,24,51,36,48,4,40,16,12,10,7,22,7,8,949,251,602,222,141,132,40
Sudeste,ES,10,3,10_3,20,42,47,53,16,43,16,16,14,6,27,10,14,987,239,655,232,127,101,40
Sudeste,ES,11,2,11_2,34,60,39,60,13,61,29,8,12,9,33,17,11,923,213,629,237,101,92,43
Sudeste,ES,11,3,11_3,42,77,60,76,16,72,29,20,21,12,58,17,20,986,234,650,238,125,106,41
Nordeste,CE,9,4,9_4,29,54,45,60,8,51,19,6,9,10,30,9,8,1062,287,597,128,93,108,38
Nordeste,CE,9,2,9_2,30,44,48,76,9,70,23,10,11,6,30,15,14,1093,260,633,149,92,108,32
Nordeste,CE,10,4,10_4,23,45,42,46,6,46,18,6,9,9,23,12,14,1006,280,593,127,87,105,37
Nordeste,CE,10,2,10_2,29,42,53,61,11,54,18,10,7,7,21,11,8,1038,268,612,143,93,96,30
Nordeste,CE,11,1,11_1,15,30,26,40,7,45,19,8,10,4,26,9,4,959,238,585,168,65,87,36
Nordeste,CE,9,1,9_1,35,57,50,66,14,74,31,12,19,11,23,17,19,1035,245,589,158,75,84,35
Nordeste,CE,9,3,9_3,35,62,53,75,16,71,32,13,13,11,52,14,23,1031,275,623,133,91,97,42
Nordeste,CE,10,1,10_1,42,61,64,83,13,63,24,22,8,9,22,20,6,1017,252,624,183,72,90,37
Nordeste,CE,10,3,10_3,40,42,49,65,9,49,31,14,13,12,40,14,11,988,263,608,132,92,101,40
Nordeste,CE,11,3,11_3,26,36,32,35,6,47,19,9,15,8,21,9,10,984,255,590,123,85,96,39
Nordeste,CE,11,4,11_4,26,44,42,57,7,58,27,14,10,8,40,14,19,955,272,579,127,87,105,35
Nordeste,CE,11,2,11_2,24,38,37,50,9,44,25,8,10,6,29,11,10,1029,260,628,146,97,101,32
Nordeste,MA,9,2,9_2,53,79,71,92,9,79,36,14,26,12,45,14,28,1097,222,597,157,86,77,16
Nordeste,MA,9,3,9_3,45,83,54,67,17,48,34,17,22,14,39,10,12,1086,210,593,164,84,48,20
Nordeste,MA,10,2,10_2,51,65,70,73,15,99,34,16,20,18,55,14,15,1088,232,618,145,96,67,21
Nordeste,MA,10,1,10_1,53,60,83,78,20,93,34,17,21,22,46,33,29,993,219,570,163,83,51,23
Nordeste,MA,11,2,11_2,50,83,67,58,12,103,22,15,12,12,44,13,7,1088,234,617,147,88,69,21
Nordeste,MA,11,1,11_1,50,66,60,71,10,92,20,13,21,10,31,15,12,1046,220,612,170,83,57,23
Nordeste,MA,11,3,11_3,55,94,73,57,9,102,18,8,11,10,42,8,12,1056,219,606,148,86,48,15
Nordeste,MA,9,1,9_1,84,84,65,102,16,101,32,14,24,10,62,18,40,1014,204,563,147,76,53,20
Nordeste,MA,9,4,9_4,62,64,53,80,15,68,26,16,18,13,40,17,11,1121,231,578,161,66,72,22
Nordeste,MA,10,3,10_3,35,54,53,63,11,64,16,10,5,15,37,12,12,1046,219,588,162,91,48,16
Nordeste,MA,10,4,10_4,62,80,64,68,8,96,25,11,8,8,37,11,15,1044,229,564,162,65,75,22
Nordeste,MA,11,4,11_4,65,88,78,76,14,100,28,19,21,17,45,20,15,1078,228,583,156,65,77,20
Nordeste,PE,9,3,9_3,26,41,32,60,8,50,16,10,10,9,25,8,12,922,230,617,144,64,104,26
Nordeste,PE,10,4,10_4,31,38,37,51,14,46,20,7,11,10,26,8,9,979,232,606,158,90,95,39
Nordeste,PE,10,3,10_3,32,25,19,51,9,43,23,11,20,3,37,16,14,956,227,641,150,66,106,28
Nordeste,PE,10,1,10_1,24,38,27,61,4,38,16,6,9,6,23,11,6,872,203,575,158,84,90,23
Nordeste,PE,11,4,11_4,55,69,55,74,15,79,38,13,20,9,41,22,19,1018,242,635,161,91,97,42
Nordeste,PE,11,3,11_3,34,45,39,62,6,37,15,8,18,6,23,12,20,930,232,635,146,65,107,31
Nordeste,PE,9,4,9_4,27,47,38,56,12,62,28,13,16,4,31,20,10,999,228,615,157,86,89,38
Nordeste,PE,9,2,9_2,24,47,43,81,14,55,20,11,13,5,41,10,8,990,242,659,152,95,90,33
Nordeste,PE,9,1,9_1,36,38,25,61,12,55,21,11,25,12,34,9,11,874,205,569,157,85,91,26
Nordeste,PE,10,2,10_2,27,36,27,55,12,37,19,10,9,7,23,7,8,991,236,660,154,95,90,33
Nordeste,PE,11,2,11_2,38,66,49,67,17,60,34,20,27,4,44,27,19,1005,233,670,164,97,93,34
Nordeste,PE,11,1,11_1,30,54,37,49,12,52,24,14,12,11,29,13,13,885,212,590,163,83,96,23
Sul,SC,9,4,9_4,27,56,46,86,13,52,36,8,8,12,44,11,18,1554,364,868,253,202,222,73
Sul,SC,9,2,9_2,33,70,42,88,22,51,47,23,21,20,54,18,22,1596,401,889,287,211,234,88
Sul,SC,9,3,9_3,41,71,52,94,31,63,42,20,20,20,55,20,23,1543,342,887,252,219,220,101
Sul,SC,10,2,10_2,59,67,59,67,22,60,46,21,16,15,62,21,24,1579,407,924,298,221,249,96
Sul,SC,10,3,10_3,37,59,46,73,16,55,31,13,20,13,40,15,25,1561,348,903,262,221,219,96
Sul,SC,11,1,11_1,37,82,65,73,19,61,44,13,9,16,44,17,22,1485,357,887,286,232,224,82
Sul,SC,11,4,11_4,68,94,84,89,21,77,49,25,19,28,60,34,37,1502,355,870,239,206,203,80
Sul,SC,9,1,9_1,40,76,54,102,20,79,35,18,15,20,61,21,19,1474,362,869,299,241,227,90
Sul,SC,10,1,10_1,34,67,45,58,8,49,31,3,10,5,38,15,14,1451,365,872,282,233,223,89
Sul,SC,10,4,10_4,51,75,64,87,23,71,59,19,20,21,64,25,36,1511,353,862,254,203,211,81
Sul,SC,11,2,11_2,48,65,60,81,26,38,44,24,23,16,67,21,34,1576,404,910,297,226,237,96
Sul,SC,11,3,11_3,57,84,72,95,28,80,51,22,26,19,73,31,42,1569,340,901,249,229,232,101
Sudeste,RJ,9,2,9_2,38,63,56,103,11,71,43,23,25,11,46,20,16,2133,450,1263,397,201,142,94
Sudeste,RJ,9,4,9_4,34,47,33,72,15,56,46,24,15,9,49,25,16,2060,470,1255,485,210,154,101
Sudeste,RJ,9,3,9_3,39,74,52,85,13,73,40,16,19,7,46,18,18,1977,465,1203,408,185,146,74
Sudeste,RJ,9,1,9_1,25,56,37,75,13,48,34,17,10,12,43,24,16,2071,485,1273,403,198,157,94
Sudeste,RJ,10,4,10_4,30,62,50,81,6,71,33,22,18,9,31,16,21,2051,467,1248,469,203,150,100
Sudeste,RJ,10,2,10_2,44,67,37,75,22,65,60,17,21,13,47,20,20,2112,444,1258,408,204,144,91
Sudeste,RJ,10,1,10_1,42,57,39,65,8,64,27,16,27,9,29,16,19,2036,487,1256,395,189,161,90
Sudeste,RJ,11,1,11_1,42,94,53,79,9,99,49,19,19,16,42,26,21,2053,488,1285,411,188,157,88
Sudeste,RJ,11,2,11_2,52,73,50,64,15,65,55,23,24,14,51,19,18,2096,442,1256,408,202,137,93
Sudeste,RJ,10,3,10_3,39,66,52,52,6,73,46,8,19,13,33,16,19,1975,468,1210,408,184,140,77
Sudeste,RJ,11,4,11_4,58,91,78,109,23,86,73,32,25,28,72,32,37,2041,469,1243,464,207,150,102
Sudeste,RJ,11,3,11_3,50,78,59,83,20,81,56,27,27,18,56,21,24,1977,463,1195,405,175,139,79